City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,savanna-la-mar,18.219,-78.1332,299.12,88,100,0.7,JM,1693134793
189,uyuni,-20.4597,-66.825,273.33,36,27,3.43,BO,1693134794
190,muli,2.9167,73.5667,301.61,71,31,2.32,MV,1693134794
191,coquimbo,-29.9533,-71.3436,286.84,64,0,1.69,CL,1693134781
192,pajapan,18.25,-94.7,296.38,93,78,0.69,MX,1693134795
193,kill devil hills,36.0307,-75.676,298.7,98,0,0.0,US,1693134796
194,nadym,65.5333,72.5167,288.61,55,75,3.74,RU,1693134796
195,willowmore,-33.2926,23.4895,286.67,34,1,1.03,ZA,1693134797
196,malango,-2.9627,119.9001,292.96,97,49,0.55,ID,1693134797
197,nova sintra,14.8667,-24.7167,297.68,76,32,1.37,CV,1693134798
198,okhotsk,59.3833,143.3,287.61,77,87,1.16,RU,1693134799
199,monte argentario,42.4345,11.1195,305.04,69,77,7.41,IT,1693134800
200,mukalla,14.5425,49.1242,307.45,56,40,5.58,YE,1693134800
201,el triunfo,-1.9333,-79.9667,296.17,87,20,1.35,EC,1693134801
202,cabo san lucas,22.8909,-109.9124,302.88,75,35,2.24,MX,1693134801
203,george town,5.4112,100.3354,304.11,66,20,1.03,MY,1693134643
204,kuzovatovo,53.5468,47.6866,291.02,63,100,6.38,RU,1693134802
205,fisterra,42.9049,-9.2629,294.68,72,24,6.39,ES,1693134802
206,micheweni,-4.9667,39.8333,301.01,68,14,5.19,TZ,1693134802
207,salinopolis,-0.6136,-47.3561,300.46,74,16,3.68,BR,1693134803
208,alofi,-19.0595,-169.9187,294.09,68,93,3.6,NU,1693134803
209,isafjordur,66.0755,-23.124,286.17,54,20,6.17,IS,1693134803
210,saint-pierre,-21.3393,55.4781,296.97,73,100,5.14,RE,1693134804
211,mount gambier,-37.8333,140.7667,281.33,94,48,2.02,AU,1693134804
212,sao jose da coroa grande,-8.8978,-35.1478,299.36,85,31,4.28,BR,1693134804
213,ta`u,-14.2336,-169.5144,299.88,77,96,8.06,AS,1693134805
214,nuuk,64.1835,-51.7216,279.49,93,75,10.8,GL,1693134661
215,sault ste. marie,46.5168,-84.3333,281.46,96,0,0.0,CA,1693134806
216,mudgee,-32.5943,149.5871,286.92,57,99,2.05,AU,1693134628
217,yatou,37.15,122.3833,291.82,93,100,3.15,CN,1693134806
218,acarau,-2.8856,-40.12,301.26,68,11,5.69,BR,1693134806
219,kampong cham,11.9934,105.4635,303.12,71,99,1.62,KH,1693134555
220,livingston,55.9029,-3.5226,289.15,86,75,4.12,GB,1693134680
221,new norfolk,-42.7826,147.0587,279.66,92,0,0.48,AU,1693134807
222,adrar,20.5022,-10.0711,313.04,8,57,5.07,MR,1693134808
223,geraldton,-28.7667,114.6,289.38,94,0,2.06,AU,1693134808
224,constantia,44.1833,28.65,304.65,54,0,4.66,RO,1693134601
225,avarua,-21.2078,-159.775,294.18,88,75,2.06,CK,1693134808
226,tazacorte,28.629,-17.9293,300.69,88,20,7.2,ES,1693134809
227,santa isabel,-23.3156,-46.2214,285.99,93,100,2.82,BR,1693134809
228,vila do maio,15.1333,-23.2167,303.59,74,53,2.27,CV,1693134809
229,kuraymah,18.55,31.85,314.67,19,99,7.79,SD,1693134809
230,haiku-pauwela,20.9219,-156.3051,296.62,79,75,7.72,US,1693134810
231,tual,-5.6667,132.75,298.73,83,87,9.95,ID,1693134810
232,mejit,10.2753,170.8646,301.12,80,100,6.25,MH,1693134810
233,yerofey pavlovich,53.9667,121.9667,287.62,56,98,1.42,RU,1693134811
234,kuanda,56.3161,116.0806,291.93,64,21,1.67,RU,1693134811
235,lepsy,46.235,78.9456,301.79,26,98,7.45,KZ,1693134812
236,san antonio de pale,-1.4014,5.6325,297.07,84,98,6.57,GQ,1693134812
237,sisimiut,66.9395,-53.6735,278.95,84,100,8.12,GL,1693134813
238,jayapura,-2.5333,140.7,299.81,89,50,2.45,ID,1693134718
239,churapcha,62.0025,132.4325,289.26,75,100,1.33,RU,1693134814
240,novoishimskiy,53.1981,66.7694,291.01,49,81,5.07,KZ,1693134814
241,nangong,37.3581,115.3744,292.29,93,91,2.98,CN,1693134814
242,olyokminsk,60.3736,120.4264,292.41,55,21,1.51,RU,1693134815
